Code Domaine,Domaine,Code zone (FAO),Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole,Note
"MK","Indicateurs macro","103","Iraq","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","190643.898226","X","Sources internationales sûres",""
"MK","Indicateurs macro","104","Irlande","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","339341.370104","X","Sources internationales sûres",""
"MK","Indicateurs macro","99","Islande","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","24488.176541","X","Sources internationales sûres",""
"MK","Indicateurs macro","105","Israël","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","353253.408372","X","Sources internationales sûres",""
"MK","Indicateurs macro","106","Italie","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","1961796.197354","X","Sources internationales sûres",""
"MK","Indicateurs macro","109","Jamaïque","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","14808.984881","X","Sources internationales sûres",""
"MK","Indicateurs macro","110","Japon","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","4866864.409658","X","Sources internationales sûres",""
"MK","Indicateurs macro","112","Jordanie","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","41408.450704","X","Sources internationales sûres",""
"MK","Indicateurs macro","108","Kazakhstan","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","166805.788967","X","Sources internationales sûres",""
"MK","Indicateurs macro","114","Kenya","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","78964.99263","X","Sources internationales sûres",""
"MK","Indicateurs macro","113","Kirghizistan","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","7702.938395","X","Sources internationales sûres",""
"MK","Indicateurs macro","83","Kiribati","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","187.282142","X","Sources internationales sûres",""
"MK","Indicateurs macro","118","Koweït","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","120687.635824","X","Sources internationales sûres",""
"MK","Indicateurs macro","122","Lesotho","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","2403.48882","X","Sources internationales sûres",""
"MK","Indicateurs macro","119","Lettonie","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","30458.760986","X","Sources internationales sûres",""
"MK","Indicateurs macro","121","Liban","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","53140.638269","X","Sources internationales sûres",""
"MK","Indicateurs macro","123","Libéria","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","2763","X","Sources internationales sûres",""
"MK","Indicateurs macro","124","Libye","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","24804.796279","X","Sources internationales sûres",""
"MK","Indicateurs macro","125","Liechtenstein","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","6474.31091","X","Sources internationales sûres",""
"MK","Indicateurs macro","126","Lituanie","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","47758.736932","X","Sources internationales sûres",""
"MK","Indicateurs macro","256","Luxembourg","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","64181.944723","X","Sources internationales sûres",""
"MK","Indicateurs macro","154","Macédoine du Nord","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","11307.06119","X","Sources internationales sûres",""
"MK","Indicateurs macro","129","Madagascar","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","13176.313594","X","Sources internationales sûres",""
"MK","Indicateurs macro","131","Malaisie","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","319109.142308","X","Sources internationales sûres",""
"MK","Indicateurs macro","130","Malawi","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","6347.707685","X","Sources internationales sûres",""
"MK","Indicateurs macro","132","Maldives","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","4754.217827","X","Sources internationales sûres",""
"MK","Indicateurs macro","133","Mali","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","15365.713059","X","Sources internationales sûres",""
"MK","Indicateurs macro","134","Malte","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","12789.911376","X","Sources internationales sûres",""
"MK","Indicateurs macro","143","Maroc","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","109682.751915","X","Sources internationales sûres",""
"MK","Indicateurs macro","137","Maurice","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","13259.348214","X","Sources internationales sûres",""
"MK","Indicateurs macro","136","Mauritanie","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","6758.387582","X","Sources internationales sûres",""
"MK","Indicateurs macro","138","Mexique","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","1157735.159771","X","Sources internationales sûres",""
"MK","Indicateurs macro","145","Micronésie (États fédérés de)","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","366.7","X","Sources internationales sûres",""
"MK","Indicateurs macro","140","Monaco","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","6431.276067","X","Sources internationales sûres",""
"MK","Indicateurs macro","141","Mongolie","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","11425.755104","X","Sources internationales sûres",""
"MK","Indicateurs macro","273","Monténégro","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","4856.612346","X","Sources internationales sûres",""
"MK","Indicateurs macro","142","Montserrat","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","59.666667","X","Sources internationales sûres",""
"MK","Indicateurs macro","144","Mozambique","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","13219.07958","X","Sources internationales sûres",""
"MK","Indicateurs macro","28","Myanmar","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","68062.162296","X","Sources internationales sûres",""
"MK","Indicateurs macro","147","Namibie","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","12734.185452","X","Sources internationales sûres",""
"MK","Indicateurs macro","148","Nauru","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","128.743386","X","Sources internationales sûres",""
"MK","Indicateurs macro","149","Népal","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","25590.321593","X","Sources internationales sûres",""
"MK","Indicateurs macro","157","Nicaragua","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","13785.892849","X","Sources internationales sûres",""
"MK","Indicateurs macro","158","Niger","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","11170.054787","X","Sources internationales sûres",""
"MK","Indicateurs macro","159","Nigéria","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","375769.719405","X","Sources internationales sûres",""
"MK","Indicateurs macro","162","Norvège","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","398393.955269","X","Sources internationales sûres",""
"MK","Indicateurs macro","153","Nouvelle-Calédonie","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","9458.750913","X","Sources internationales sûres",""
"MK","Indicateurs macro","156","Nouvelle-Zélande","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","205415.864858","X","Sources internationales sûres",""
"MK","Indicateurs macro","221","Oman","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","70598.026283","X","Sources internationales sûres",""
"MK","Indicateurs macro","226","Ouganda","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","27115.148108","X","Sources internationales sûres",""
"MK","Indicateurs macro","235","Ouzbékistan","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","59159.9487","X","Sources internationales sûres",""
"MK","Indicateurs macro","165","Pakistan","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","302709.723378","X","Sources internationales sûres",""
"MK","Indicateurs macro","180","Palaos","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","287.564063","X","Sources internationales sûres",""
"MK","Indicateurs macro","299","Palestine","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","16128","X","Sources internationales sûres",""
"MK","Indicateurs macro","166","Panama","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","62202.725204","X","Sources internationales sûres",""
"MK","Indicateurs macro","168","Papouasie-Nouvelle-Guinée","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","22742.696403","X","Sources internationales sûres",""
"MK","Indicateurs macro","169","Paraguay","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","39008.900667","X","Sources internationales sûres",""
"MK","Indicateurs macro","150","Pays-Bas","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","833869.641687","X","Sources internationales sûres",""
"MK","Indicateurs macro","170","Pérou","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","211007.952316","X","Sources internationales sûres",""
"MK","Indicateurs macro","171","Philippines","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","313619.624581","X","Sources internationales sûres",""
"MK","Indicateurs macro","173","Pologne","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","526504.233551","X","Sources internationales sûres",""
"MK","Indicateurs macro","70","Polynésie française","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","5757.306501","X","Sources internationales sûres",""
"MK","Indicateurs macro","177","Porto Rico","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","103445.526","X","Sources internationales sûres",""
"MK","Indicateurs macro","174","Portugal","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","221357.874719","X","Sources internationales sûres",""
"MK","Indicateurs macro","179","Qatar","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","166928.689894","X","Sources internationales sûres",""
"MK","Indicateurs macro","212","République arabe syrienne","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","13341.4582","X","Sources internationales sûres",""
"MK","Indicateurs macro","37","République centrafricaine","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","2072.349974","X","Sources internationales sûres",""
"MK","Indicateurs macro","117","République de Corée","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","1623901.466309","X","Sources internationales sûres",""
"MK","Indicateurs macro","146","République de Moldova","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","9669.741743","X","Sources internationales sûres",""
"MK","Indicateurs macro","250","République démocratique du Congo","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","37642.464497","X","Sources internationales sûres",""
"MK","Indicateurs macro","120","République démocratique populaire lao","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","17071.17271","X","Sources internationales sûres",""
"MK","Indicateurs macro","56","République dominicaine","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","79998.045976","X","Sources internationales sûres",""
"MK","Indicateurs macro","116","République populaire démocratique de Corée","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","17364.724931","X","Sources internationales sûres",""
"MK","Indicateurs macro","215","République-Unie de Tanzanie","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","54723.795208","X","Sources internationales sûres",""
"MK","Indicateurs macro","183","Roumanie","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","211695.857898","X","Sources internationales sûres",""
