Code Domaine,Domaine,Code zone (FAO),Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"EI","Intensités des émissions","4","Algérie","7231","Émissions (CO2eq)","882","Lait, entier frais de vache","2017","2017","gigagrammes","1765.2968","Fc","Donnée calculée"
"EI","Intensités des émissions","4","Algérie","5510","Production","882","Lait, entier frais de vache","2017","2017","tonnes","2666000","","Donnée officielle"
"EI","Intensités des émissions","4","Algérie","71761","Intensité des émissions","1017","Viande, caprin","2017","2017","kg CO2eq/kg product","25.643","Fc","Donnée calculée"
"EI","Intensités des émissions","4","Algérie","7231","Émissions (CO2eq)","1017","Viande, caprin","2017","2017","gigagrammes","485.1443","Fc","Donnée calculée"
"EI","Intensités des émissions","4","Algérie","5510","Production","1017","Viande, caprin","2017","2017","tonnes","18919","Im","Données de la FAO basées sur une méthodologie d'imputation"
"EI","Intensités des émissions","4","Algérie","71761","Intensité des émissions","1020","Lait, entier frais de chèvre","2017","2017","kg CO2eq/kg product","2.5339","Fc","Donnée calculée"
"EI","Intensités des émissions","4","Algérie","7231","Émissions (CO2eq)","1020","Lait, entier frais de chèvre","2017","2017","gigagrammes","587.1157","Fc","Donnée calculée"
"EI","Intensités des émissions","4","Algérie","5510","Production","1020","Lait, entier frais de chèvre","2017","2017","tonnes","231708","Im","Données de la FAO basées sur une méthodologie d'imputation"
"EI","Intensités des émissions","4","Algérie","71761","Intensité des émissions","977","Viande, ovin","2017","2017","kg CO2eq/kg product","12.3474","Fc","Donnée calculée"
"EI","Intensités des émissions","4","Algérie","7231","Émissions (CO2eq)","977","Viande, ovin","2017","2017","gigagrammes","3326.2444","Fc","Donnée calculée"
"EI","Intensités des émissions","4","Algérie","5510","Production","977","Viande, ovin","2017","2017","tonnes","269387","Im","Données de la FAO basées sur une méthodologie d'imputation"
"EI","Intensités des émissions","4","Algérie","71761","Intensité des émissions","982","Lait, entier frais de brebis","2017","2017","kg CO2eq/kg product","7.5631","Fc","Donnée calculée"
"EI","Intensités des émissions","4","Algérie","7231","Émissions (CO2eq)","982","Lait, entier frais de brebis","2017","2017","gigagrammes","2153.0913","Fc","Donnée calculée"
"EI","Intensités des émissions","4","Algérie","5510","Production","982","Lait, entier frais de brebis","2017","2017","tonnes","284684","Im","Données de la FAO basées sur une méthodologie d'imputation"
"EI","Intensités des émissions","4","Algérie","71761","Intensité des émissions","1130","Lait, entier frais de chamelle","2017","2017","kg CO2eq/kg product","8.022","Fc","Donnée calculée"
"EI","Intensités des émissions","4","Algérie","7231","Émissions (CO2eq)","1130","Lait, entier frais de chamelle","2017","2017","gigagrammes","112.3385","Fc","Donnée calculée"
"EI","Intensités des émissions","4","Algérie","5510","Production","1130","Lait, entier frais de chamelle","2017","2017","tonnes","14004","Im","Données de la FAO basées sur une méthodologie d'imputation"
"EI","Intensités des émissions","4","Algérie","71761","Intensité des émissions","1058","Viande, volaille","2017","2017","kg CO2eq/kg product","1.9363","Fc","Donnée calculée"
"EI","Intensités des émissions","4","Algérie","7231","Émissions (CO2eq)","1058","Viande, volaille","2017","2017","gigagrammes","490.2887","Fc","Donnée calculée"
"EI","Intensités des émissions","4","Algérie","5510","Production","1058","Viande, volaille","2017","2017","tonnes","253206","Im","Données de la FAO basées sur une méthodologie d'imputation"
"EI","Intensités des émissions","4","Algérie","71761","Intensité des émissions","1062","Œufs de poule en coquille","2017","2017","kg CO2eq/kg product","0.3854","Fc","Donnée calculée"
"EI","Intensités des émissions","4","Algérie","7231","Émissions (CO2eq)","1062","Œufs de poule en coquille","2017","2017","gigagrammes","150.3034","Fc","Donnée calculée"
"EI","Intensités des émissions","4","Algérie","5510","Production","1062","Œufs de poule en coquille","2017","2017","tonnes","390000","F","Estimation FAO"
"EI","Intensités des émissions","4","Algérie","71761","Intensité des émissions","1035","Viande, suidés","2017","2017","kg CO2eq/kg product","11.7575","Fc","Donnée calculée"
"EI","Intensités des émissions","4","Algérie","7231","Émissions (CO2eq)","1035","Viande, suidés","2017","2017","gigagrammes","1.3119","Fc","Donnée calculée"
"EI","Intensités des émissions","4","Algérie","5510","Production","1035","Viande, suidés","2017","2017","tonnes","112","Im","Données de la FAO basées sur une méthodologie d'imputation"
"EI","Intensités des émissions","79","Allemagne","71761","Intensité des émissions","1718","Céréales sans riz","2017","2017","kg CO2eq/kg product","0.1968","Fc","Donnée calculée"
"EI","Intensités des émissions","79","Allemagne","7231","Émissions (CO2eq)","1718","Céréales sans riz","2017","2017","gigagrammes","8499.1823","Fc","Donnée calculée"
"EI","Intensités des émissions","79","Allemagne","5510","Production","1718","Céréales sans riz","2017","2017","tonnes","43196500","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"EI","Intensités des émissions","79","Allemagne","71761","Intensité des émissions","867","Viande, bovine","2017","2017","kg CO2eq/kg product","12.9386","Fc","Donnée calculée"
"EI","Intensités des émissions","79","Allemagne","7231","Émissions (CO2eq)","867","Viande, bovine","2017","2017","gigagrammes","14711.2797","Fc","Donnée calculée"
"EI","Intensités des émissions","79","Allemagne","5510","Production","867","Viande, bovine","2017","2017","tonnes","1137008","","Donnée officielle"
"EI","Intensités des émissions","79","Allemagne","71761","Intensité des émissions","882","Lait, entier frais de vache","2017","2017","kg CO2eq/kg product","0.4941","Fc","Donnée calculée"
"EI","Intensités des émissions","79","Allemagne","7231","Émissions (CO2eq)","882","Lait, entier frais de vache","2017","2017","gigagrammes","16142.0136","Fc","Donnée calculée"
