Country Name;Country Code;Indicator Name;Indicator Code;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;
;AFW;Demandes de brevet, résidents;IP.PAT.RESD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;AFW;Demandes de brevet, non résidents;IP.PAT.NRES;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;AFW;Articles de journaux scientifiques et techniques;IP.JRN.ARTC.SC;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1786.61694078781;1869.51795326076;2121.82;2306.61;2565.83;2899.84;3465.04;3829.69;3993.21;4727.78;5123.54;5640.58;5471.26;5693.76;6388.11;6603.2;7257.17;7907.5;9442.47;;;
;AFW;Dépenses en recherche et développement (% du PIB);GB.XPD.RSDV.GD.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.151855620712604;;;;;;;;;;;;;;
;AFW;Commissions pour usage de la propriété intellectuelle, rentrées (BDP, $ US courants);BX.GSR.ROYL.CD;;;;;;;;;;;;;;;41544.686682381;46660.7468989429;41849.6727980134;40703.405884923;44315.2683454892;94019.5816431892;94661.3124054691;22333572.983764;10643797.1740831;7925614.74046772;8628503.09981687;912605.832284441;1963581.88821057;865119.364919978;1142769.84065489;1504663.04723273;1762989.63816211;1308601.1641066;14324879.6176816;1247594.96986943;1228744.24588109;1272432.99464197;366071.378418687;595792.364569889;71788.6974658794;3352321.67087245;2479276.25885428;349933.61096362;887653.208002575;634631.38107345;1439300.00878227;800981.063155788;491800.025759784;1021603.60242117;2569988.40604051;2707809.79758951;3506559.40545343;3899774.72766368;5551869.64813548;6513644.74585881;10149392.7988585;8572491.63501025;9185172.84300519;6365615.73681055;112807609.933521;79479363.4504552;48675533.3947127;
;AFW;Commissions pour usage de la propriété intellectuelle, paiements (BDP, $ US courants);BM.GSR.ROYL.CD;;;;;;;;;;;;;;;124634.060047143;139982.240696829;125549.01839404;122110.217654769;221576.341727446;3071440.95410797;58650568.4202093;85049182.9408369;30592773.9154916;14479603.20155;3249268.7707697;2660288.72814196;4111132.78287049;1466785.37753345;2529399.87322228;1252353.30427846;919342.173835729;1225449.50513456;3766087.24335112;4803075.61950148;1723322.2080514;1787869.35177278;4450062.87347925;8642808.0943644;7558945.356209;11836424.1169788;12562609.349392;8570819.68351025;7639533.26430343;56893393.2463954;15259376.7631027;105306331.388604;115950015.259434;219479836.068342;247495725.014788;262727550.871165;266897804.040346;251239858.934063;283984358.688477;278039100.438778;289056195.682378;276882578.310601;273614797.156657;278307224.628641;332642747.646662;468924196.536711;415668070.200431;
Angola;AGO;Exportations de haute technologie (% des exportations de biens manufacturés);TX.VAL.TECH.MF.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12.6044862348373;12.9847264242119;19.3823452262986;3.97113627443671;26.3851328940171;;
Angola;AGO;Exportations de haute technologie ($ US courants);TX.VAL.TECH.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;102003481;101140549;90107053;67484792;77770742;;
Angola;AGO;Techniciens (pour un million de personnes);SP.POP.TECH.RD.P6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;35.4243;;;;;5.20066;;;;;
Angola;AGO;Chercheurs en recherche et développement (pour un million de personnes);SP.POP.SCIE.RD.P6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.48012;;;;;18.81599;;;;;
Angola;AGO;Demandes de marque déposée, total;IP.TMK.TOTL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1976;;;;;;;;;;;;;;;;;;;;;;;;3604;3346;4117;4333;;
Angola;AGO;Demandes de marques de commerce, résidents directs;IP.TMK.RESD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;93;;;;;;;;;;;;;;;;;;;;;;;;1585;1724;2354;2604;;
Angola;AGO;Demandes de marques de commerce, non résidents directs;IP.TMK.NRES;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1883;;;;;;;;;;;;;;;;;;;;;;;;2019;1622;1763;1729;;
Angola;AGO;Demandes de brevet, résidents;IP.PAT.RESD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;6;2;;
Angola;AGO;Demandes de brevet, non résidents;IP.PAT.NRES;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;114;108;;
